id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
782480989508375165,Chaleureux et super équipé,80237336,Clotilde,,Verdun,45.44859,-73.57597,Entire home/apt,280,31,0,,,1,230,0,
782550814520025864,Old Mtl 2Bedrooms/ 99 Walk score,491467437,Bakan,,Ville-Marie,45.50607,-73.56292,Entire home/apt,196,2,16,2023-04-11,4.21,19,130,16,300477
782590694832043199,Green Oasis in a Trendy Loft #302,239539502,Marc-Antoine,,Rosemont-La Petite-Patrie,45.5316,-73.60971,Entire home/apt,143,31,2,2023-03-14,0.58,2,365,2,
782609916029009059,Magnificent corner unit,234367663,Patrick,,Villeray-Saint-Michel-Parc-Extension,45.56558,-73.64398,Entire home/apt,75,2,7,2023-03-28,1.94,21,270,7,190320
782685062719810810,Appartement 2 lits  dans Village/terrasse,398097719,Samuel,,Ville-Marie,45.52335,-73.55623,Entire home/apt,71,1,1,2023-01-05,0.30,58,128,1,480712
782750512037912145,Loft in the heart of Montréal,275134304,Marc,,Le Plateau-Mont-Royal,45.5153694,-73.57609049999999,Entire home/apt,106,31,22,2023-04-09,5.55,2,42,22,
782860687376180263,Amazing 2BD Condo Place-Des-Arts,489390868,Alex,,Ville-Marie,45.50633,-73.56744,Entire home/apt,328,3,0,,,4,121,0,298468
782871218787504557,Amazing Loft in Old Montreal With European Style,489390868,Alex,,Ville-Marie,45.50234,-73.55627,Entire home/apt,513,2,1,2023-03-14,0.91,4,150,1,298638
782878016126175864,Trendy Penthouse on Historical street Old Montreal,489390868,Alex,,Ville-Marie,45.50206,-73.55645,Entire home/apt,585,2,2,2023-03-13,1.67,4,137,2,298467
782968830966151677,Room w/Wi-Fi 500mbps + Smart TV,375151915,Roman-Anne,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.48212862430147,-73.63245779136528,Private room,79,31,1,2022-12-28,0.28,4,361,1,
783291547951944622,Chambre étudiant-e Villeray,6553886,Nathalie,,Villeray-Saint-Michel-Parc-Extension,45.54632,-73.63413,Private room,28,31,0,,,2,197,0,
783296681139444803,Mixed dorm Hostel - Parc Lofts,491677515,Berish,,Le Plateau-Mont-Royal,45.5233306,-73.60409539999999,Shared room,49,1,4,2023-03-09,1.10,30,344,4,306141
778098673924452929,Amazing apartment in Downtown Montreal,141523399,Kais,,Le Plateau-Mont-Royal,45.51048,-73.57315,Entire home/apt,126,3,10,2023-04-01,2.40,5,326,10,305892
778180192703733984,Deluxe large 5 bedrooms downtown apt near metro,356522751,Joey,,Ville-Marie,45.51493,-73.55808,Entire home/apt,310,1,3,2023-04-10,0.83,10,313,3,312720
778216412325848386,Spacious 4BR Apt w/ Parking - 10 min from downtown,398097719,Samuel,,Verdun,45.47095,-73.56846,Entire home/apt,92,1,18,2023-03-31,5.29,58,96,18,299603
778237520695557239,hommy bright apt beside Concordia,469621865,Alice,,Ville-Marie,45.49525,-73.58174,Entire home/apt,66,1,14,2023-03-27,3.68,2,240,14,317968
789249938983177775,Maison proche du centre-ville,302180271,Qin Ping,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.47549328071502,-73.61377424655637,Private room,299,1,0,,,1,103,0,311696
789269108225667040,Charming Downtown Apartment,492621491,Ivonne,,Ville-Marie,45.492436706399715,-73.57799300748837,Entire home/apt,47,31,5,2023-03-19,2.88,31,113,5,
778257721238599415,Spacious 3BR Apt w/Parking - 10 min from downtown,398097719,Samuel,,Verdun,45.47072,-73.56707,Entire home/apt,87,1,4,2023-02-07,1.04,58,121,4,306820
783349479947664877,"Peaceful, modern, near DT/ Metro",82013456,Louise,,Westmount,45.48203005192294,-73.5928102554829,Entire home/apt,100,31,0,,,1,258,0,
783361321935129296,Mixed dorm Hostel - Parc Lofts,491677515,Berish,,Le Plateau-Mont-Royal,45.5233306,-73.60409539999999,Shared room,49,1,0,,,30,363,0,298353
783371255588788307,Montréal Centreville Griffintown,34405657,Christy,,Le Sud-Ouest,45.48957622571384,-73.55963966359207,Entire home/apt,102,31,1,2023-03-19,1,3,187,1,
783484280967294761,CasaMaïa : 2-Bedroom apartment in the Village,17773643,Chaz And Leelo,,Ville-Marie,45.51965035331733,-73.55656259377078,Entire home/apt,235,31,11,2023-04-09,3.93,2,237,11,
778266850127574682,Great comfortable apartment in the city centre!,485930044,Vlad,,Le Plateau-Mont-Royal,45.506536977120405,-73.57507376598679,Entire home/apt,116,1,10,2023-04-03,3.06,1,68,10,480569
783649082461743194,Cheerful house with pool near airport,889275,Marina,,Pierrefonds-Roxboro,45.49777,-73.83899,Private room,41,31,1,2023-01-01,0.29,2,364,1,
789289529949172515,Townhouse in Downtown Montreal,363158810,Whitney,,Ville-Marie,45.49384790486371,-73.56437365320777,Entire home/apt,289,31,14,2023-04-13,4.00,1,216,14,
789403599612671018,Dazzling View of Montreal,492621491,Ivonne,,Le Plateau-Mont-Royal,45.512421679534405,-73.56988967157493,Entire home/apt,47,31,11,2023-03-21,3.30,31,27,11,
789806744968492331,Lovely 1-Bedroom condo in Plateau Mont-royal,507763926,Eddy,,Le Plateau-Mont-Royal,45.51683334234635,-73.57571999042128,Entire home/apt,92,1,14,2023-04-12,4.04,9,124,14,182011
789847237224099186,Lovely 2-Bedroom condo in Plateau Mont-royal A,507763926,Eddy,,Le Plateau-Mont-Royal,45.51541118023153,-73.577609863854,Entire home/apt,85,1,12,2023-04-12,3.60,9,152,12,182011
789889030189061726,Lovely 3-Bedroom condo in Plateau Mont-royal B,507763926,Eddy,,Le Plateau-Mont-Royal,45.517011995016844,-73.57529357641992,Entire home/apt,164,1,25,2023-04-12,7.28,9,75,25,182011
789913910467982989,Lovely 2-Bedroom condo in Plateau Montreal C,507763926,Eddy,,Le Plateau-Mont-Royal,45.51554391631006,-73.57722094014545,Entire home/apt,99,1,17,2023-04-14,5.60,9,151,17,182011
778276378112200424,"Nice 3BDR,free parking",263569768,Lisa,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.46571,-73.61797,Entire home/apt,158,31,1,2022-12-19,0.25,2,180,1,307880
778282429188802030,Industrial Loft in the best area of Old Montreal,7685881,Pat,,Ville-Marie,45.50008,-73.55693,Entire home/apt,250,31,2,2023-03-13,0.56,5,88,2,480710
778293510452399637,Deluxe entire place 5 room downtown apt near metro,366948627,Joe,,Ville-Marie,45.51504,-73.55787,Entire home/apt,286,1,0,,,17,320,0,312720
778295037027166916,Bright 1BR in the heart of the Mile End!,201400235,Bilel,,Le Plateau-Mont-Royal,45.51908,-73.59123,Entire home/apt,104,2,5,2023-04-03,2.38,1,11,5,648229
778340732438824041,Charming rustic and modern condo,490488698,Nissim,,Saint-Laurent,45.50939,-73.69696,Entire home/apt,92,31,1,2023-01-05,0.30,1,330,1,
789955076973021153,Amazing 2BR Plateau Mont-Royal,456773498,Joe,,Le Plateau-Mont-Royal,45.5200068012172,-73.58323095890684,Entire home/apt,106,1,4,2023-04-09,1.79,27,176,4,289951
789985719215172801,9157A New rénové nice  3 BR. Parking,492316312,Zhen,,Villeray-Saint-Michel-Parc-Extension,45.571733440323285,-73.62802364380879,Entire home/apt,88,2,3,2023-02-25,1.53,1,133,3,308211
790072385009349755,Cozy 1-Bed with OutdoorTerrasse,34136020,Omar Elsayed,,Le Plateau-Mont-Royal,45.51152929656951,-73.57136889209853,Entire home/apt,95,2,7,2023-03-22,2.76,1,73,7,123457
790242109837105939,"w/Private Toilet, Queen+Sofa bed, Smart TV",375151915,Roman-Anne,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.48545000785328,-73.63280236728228,Private room,85,31,0,,,4,180,0,
790526684971721355,L'Arcade Douce,231694,Noemie,,Rosemont-La Petite-Patrie,45.54206716075086,-73.60850779392658,Entire home/apt,110,32,17,2023-04-03,5.05,2,5,17,271530
790589573069540522,Bakan|Spacious 2BD- 2BA|Old Mtl,492298971,Bakan,,Ville-Marie,45.502025660498454,-73.55535317715712,Entire home/apt,224,2,12,2023-04-07,3.64,9,117,12,160672
778377848282288499,Appartement idéal pour long séjour,71828908,Lina,,Ahuntsic-Cartierville,45.55389,-73.63415,Entire home/apt,55,31,0,,,1,113,0,
783931904900216217,Loft. Centre-ville de Montréal,491772362,Madeleine,,Ville-Marie,45.51397947024491,-73.55545317249147,Entire home/apt,68,31,0,,,1,347,0,
778415916082902835,Bright private room in a rental unit.,426098602,Sean,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.475946,-73.612017,Private room,50,31,3,2023-02-09,0.83,7,63,3,
778896917013788409,Appartement bien situé dans Quartier Latin/balcon,398097719,Samuel,,Ville-Marie,45.51387,-73.5623,Entire home/apt,85,1,6,2023-03-25,3.21,58,58,6,314579
790630286271762528,Garden Court Urbain,150853782,Martha,,Outremont,45.5180313,-73.59938559999999,Entire home/apt,98,31,2,2023-03-21,1.18,1,237,2,
778963177477901932,Old Mtl Boutique Hôtel Mansion 8 Full Insuite Bdr,66213598,Maison,,Ville-Marie,45.51226,-73.55266,Entire home/apt,2107,3,0,,,2,139,0,137513
779011183779841212,Condo rénové 2 chambres/5 minutes du centre-ville,398097719,Samuel,,Ville-Marie,45.53297,-73.55318,Entire home/apt,159,1,11,2023-02-22,2.68,58,159,11,305230
779024458540136507,"Grand logement de 4 chambres, 1.5 sdb",9770464,Melissa,,Rosemont-La Petite-Patrie,45.557602,-73.5725631,Entire home/apt,110,32,0,,,15,276,0,
779038651147915291,"Spacious 2BR Apt w/ Private Parking, Balcony",490876372,Sebastián,,LaSalle,45.42365,-73.64996,Entire home/apt,78,1,12,2023-03-03,3.19,2,61,12,309852
790680741499727394,logement entier,308821928,Ferreri,,Ville-Marie,45.49373861186925,-73.5746885183042,Entire home/apt,35,31,0,,,1,314,0,
790777752647955090,Au coeur de l'action - superbe unité de 3 chambres,485486671,Sofiane,,Ville-Marie,45.52117863953711,-73.54812599695241,Entire home/apt,168,1,26,2023-03-31,7.36,7,62,26,480506
790792127586480884,Au coeur de l'action - superbe unité de 2 chambres,485486671,Sofiane,,Ville-Marie,45.52345621172009,-73.54842981013203,Entire home/apt,131,1,19,2023-04-07,5.38,7,86,19,480506
791188172711161799,Shared Mixed dorm Hostel - Parc Ave,491677515,Berish,,Le Plateau-Mont-Royal,45.52447763475849,-73.60527564091356,Shared room,49,1,0,,,30,355,0,298353
791194767119204988,"Exquisite semi-detached house,backyard ,parking",319506161,Quen,,Anjou,45.60394809303705,-73.5596977601657,Entire home/apt,120,31,7,2023-03-22,2.50,1,11,7,
791211030204423456,Shared Mixed Dorm Hostel - Parc,491677515,Berish,,Le Plateau-Mont-Royal,45.52438071620347,-73.6035329287462,Shared room,49,1,1,2023-03-29,1,30,363,1,298353
791229389944447487,Shared Mix Dorm Hostel - Parc,491677515,Berish,,Le Plateau-Mont-Royal,45.52389,-73.60485,Shared room,49,1,0,,,30,346,0,298353
791234321399192292,Shared Mixed Hostel Dorm - Parc,491677515,Berish,,Le Plateau-Mont-Royal,45.52250206950531,-73.60306350257552,Shared room,41,1,1,2023-01-05,0.30,30,268,1,306141
791253676392258701,Shared Mixed Dorm Hostel - Parc,491677515,Berish,,Le Plateau-Mont-Royal,45.52415,-73.60509,Shared room,49,1,1,2023-03-13,0.88,30,345,1,298353
791256667693313857,Shared Mixed Dorm hostel,491677515,Berish,,Le Plateau-Mont-Royal,45.52421257223436,-73.60308594292475,Shared room,49,1,0,,,30,325,0,298353
791271315258168850,Shared Mix Dorm Hostel - Parc,491677515,Berish,,Le Plateau-Mont-Royal,45.52244314440933,-73.60294018926864,Shared room,49,1,1,2022-12-31,0.28,30,363,1,298353
791273048046190595,Shared Mix Hostel Dorm - Parc,491677515,Berish,,Le Plateau-Mont-Royal,45.524089785256976,-73.60344922270716,Shared room,49,1,0,,,30,356,0,298353
791275855487816616,Luxurious 2BDR With HUGE Terrace,463048061,Bakan,,Le Sud-Ouest,45.49240899862083,-73.55848761490289,Entire home/apt,263,2,17,2023-03-31,4.95,14,83,17,311575
791277058758674402,Shared Mixed Hostel Dorm - Parc,491677515,Berish,,Le Plateau-Mont-Royal,45.52396796406389,-73.60299039709358,Shared room,49,1,0,,,30,353,0,298353
791277169012366227,Shared Mix Hostel Dorm - Parc,491677515,Berish,,Le Plateau-Mont-Royal,45.52306281337764,-73.60295577159731,Shared room,49,1,0,,,30,357,0,298353
791278312869112381,Shared Mixed Hostel Dorm - Parc,491677515,Berish,,Le Plateau-Mont-Royal,45.52353733590182,-73.6031407665576,Shared room,49,1,0,,,30,363,0,298353
791291947965123268,Mixed Shared Hostel Dorm - Parc,491677515,Berish,,Le Plateau-Mont-Royal,45.52365,-73.60511,Shared room,41,1,2,2023-03-23,2,30,306,2,306141
791291996026561383,Mixed Shared Hostel Dorm - Parc,491677515,Berish,,Le Plateau-Mont-Royal,45.52396495563866,-73.60310839771508,Shared room,41,1,0,,,30,302,0,306141
791293354295954698,Shared Mixed Hostel Dorm,491677515,Berish,,Le Plateau-Mont-Royal,45.52364,-73.6052,Shared room,41,1,1,2023-01-01,0.29,30,323,1,298353
791293386409050518,Shared Mixed Hostel Dorm,491677515,Berish,,Le Plateau-Mont-Royal,45.52449954852583,-73.60360080944565,Shared room,41,1,3,2023-03-28,2.57,30,314,3,298353
791299476465675449,Shared Mixed Hostel Dorm,491677515,Berish,,Le Plateau-Mont-Royal,45.52425,-73.60312,Shared room,41,1,0,,,30,321,0,306141
791299569690640167,Shared Mixed Hostel Dorm,491677515,Berish,,Le Plateau-Mont-Royal,45.52426876694074,-73.60362782412167,Shared room,41,1,2,2023-03-26,2,30,304,2,298353
791299577861253440,Shared Mixed Hostel Dorm,491677515,Berish,,Le Plateau-Mont-Royal,45.5225375260859,-73.60300140288588,Shared room,41,1,0,,,30,307,0,298353
791301000163513312,Shared Mixed Hostel Dorm,491677515,Berish,,Le Plateau-Mont-Royal,45.52445732724553,-73.60456934482274,Shared room,41,1,5,2023-03-19,1.43,30,323,5,306141
791307257895023317,Shared Mix Hostel Dorm,491677515,Berish,,Le Plateau-Mont-Royal,45.524447503718804,-73.60346273246405,Shared room,41,1,1,2023-03-19,1,30,354,1,298353
791307374281801071,Shared Mixed Hostel Dorm,491677515,Berish,,Le Plateau-Mont-Royal,45.52377398347709,-73.60303977327818,Shared room,41,1,1,2023-03-10,0.81,30,346,1,298353
791308743779117105,Shared Mixed Hostel Dorm,491677515,Berish,,Le Plateau-Mont-Royal,45.52387,-73.60308,Shared room,41,1,0,,,30,363,0,298353
791308758120298813,Shared Mixed Hostel Dorm,491677515,Berish,,Le Plateau-Mont-Royal,45.52256206627556,-73.60307718692466,Shared room,41,1,1,2023-03-28,1,30,349,1,298353
791309761701657483,Shared Mixed Hostel Dorm,491677515,Berish,,Le Plateau-Mont-Royal,45.52412897875962,-73.60355625725725,Shared room,41,1,0,,,30,356,0,298353
791309783429445944,Shared Mixed Hostel Dorm,491677515,Berish,,Le Plateau-Mont-Royal,45.5236,-73.6051,Shared room,41,1,9,2023-03-31,7.71,30,355,9,298353
791316450587091709,Shared Mixed Hostel Dorm,491677515,Berish,,Le Plateau-Mont-Royal,45.52426358580374,-73.60384035183179,Shared room,41,1,0,,,30,343,0,298353
791316457317030794,Shared mixed Hostel Dorm,491677515,Berish,,Le Plateau-Mont-Royal,45.52419,-73.60436,Shared room,41,1,2,2023-03-26,2,30,350,2,298353
791320264990081247,Shared Mixed Hostel Dorm,491677515,Berish,,Le Plateau-Mont-Royal,45.524126134558685,-73.60476048103025,Shared room,41,1,3,2023-03-30,3,30,346,3,298353
791324605063005708,Gorgeous apartment - Bell Centre parking available,190011234,Mystays,,Ville-Marie,45.49800844948875,-73.57342014763813,Entire home/apt,295,1,4,2023-04-05,3.53,4,276,4,786541
791414672945953868,Stunning & Stylish 3BR+sofa bed near Little Italy,283833782,Melissa,,Le Plateau-Mont-Royal,45.525618297444666,-73.60157310754809,Entire home/apt,156,31,8,2023-03-26,2.26,14,75,8,296490
791420702749616596,Cozy 3-Bedroom condo in Plateau Mont-royal,507763926,Eddy,,Le Plateau-Mont-Royal,45.5169270487716,-73.57598543516569,Entire home/apt,116,1,9,2023-04-03,2.67,9,166,9,182011
791443591956367006,Modern 3BR in Prime Location *Downtown/Plateau,283833782,Melissa,,Le Plateau-Mont-Royal,45.51630737360217,-73.58153323381464,Entire home/apt,174,2,12,2023-03-19,3.46,14,76,12,297133
791515741112791015,2 KING beds w/ FreeParking & Private Spacious Deck,442112073,Anthony,,Le Plateau-Mont-Royal,45.52333351094856,-73.58116775822063,Entire home/apt,224,1,34,2023-04-08,9.81,10,211,34,310306
